epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.21,1.78151,3.49577,1.91925,0.69776,0.66828,0.79323,0.39341,1.62393,1.80761,1.95539,0.000132804,0.000132804,0.000132804
2,550.247,1.61163,1.99463,1.6685,0.74331,0.71066,0.89777,0.47494,1.58204,3.40384,1.90978,0.000252964,0.000252964,0.000252964
3,804.404,1.63608,1.71964,1.68573,0.6932,0.91084,0.91066,0.51883,1.53498,1.55573,1.97237,0.000359923,0.000359923,0.000359923
4,1066.02,1.61793,1.55037,1.69721,0.84848,0.90838,0.93596,0.52242,1.60951,1.08254,1.9886,0.0003406,0.0003406,0.0003406
5,1324.81,1.62378,1.36234,1.69561,0.81343,0.85061,0.89158,0.52,1.52719,1.03332,1.83784,0.0003208,0.0003208,0.0003208
6,1572.77,1.58218,1.25795,1.65154,0.84749,0.94436,0.94746,0.53945,1.50785,1.0565,1.80893,0.000301,0.000301,0.000301
7,1826.29,1.52014,1.17871,1.61316,0.82711,0.88402,0.92979,0.52983,1.56098,1.16779,1.86444,0.0002812,0.0002812,0.0002812
8,2073.28,1.49255,1.0831,1.58968,0.86361,0.97785,0.97091,0.60368,1.37119,0.77411,1.71746,0.0002614,0.0002614,0.0002614
9,2325.29,1.43795,1.01677,1.55342,0.82747,0.97059,0.96625,0.58151,1.44294,0.84661,1.74745,0.0002416,0.0002416,0.0002416
10,2581.88,1.40486,0.9567,1.53134,0.88638,0.96336,0.96843,0.59704,1.39863,0.83244,1.72214,0.0002218,0.0002218,0.0002218
11,2840.39,1.32295,0.70375,1.57811,0.90492,0.96525,0.97718,0.59964,1.41327,0.67079,1.71855,0.000202,0.000202,0.000202
12,3087.8,1.30055,0.65288,1.56675,0.87873,0.98899,0.98417,0.6186,1.35178,0.67849,1.69873,0.0001822,0.0001822,0.0001822
13,3333.32,1.25703,0.61479,1.53178,0.92233,0.97661,0.96939,0.60509,1.36661,0.68417,1.69438,0.0001624,0.0001624,0.0001624
14,3583.05,1.24202,0.59282,1.51409,0.93064,0.97541,0.97449,0.63903,1.31717,0.57296,1.65576,0.0001426,0.0001426,0.0001426
15,3832.08,1.18656,0.55077,1.48785,0.93554,0.97256,0.97433,0.63379,1.31307,0.58443,1.64882,0.0001228,0.0001228,0.0001228
16,4088.41,1.15264,0.53267,1.46279,0.94855,0.99056,0.98375,0.65271,1.27766,0.55185,1.62881,0.000103,0.000103,0.000103
17,4333.82,1.13531,0.51212,1.43109,0.94718,0.98431,0.98385,0.65184,1.28561,0.53182,1.62741,8.32e-05,8.32e-05,8.32e-05
18,4584.12,1.08027,0.48076,1.39572,0.956,0.98319,0.98485,0.67585,1.231,0.49894,1.58766,6.34e-05,6.34e-05,6.34e-05
19,4862.49,1.03446,0.45314,1.35744,0.9418,0.98476,0.98358,0.66748,1.25733,0.49455,1.60719,4.36e-05,4.36e-05,4.36e-05
20,5135.58,1.00554,0.44483,1.36325,0.95017,0.98689,0.98358,0.6817,1.20907,0.47673,1.56394,2.38e-05,2.38e-05,2.38e-05
